Ticker,Date/Time,close
ASP-SME,29/05/2023,18.67
ASP-SME,30/05/2023,18.77
ASP-SME,31/05/2023,19.01
ASP-SME,01/06/2023,18.89
ASP-SME,02/06/2023,18.91
ASP-SME,06/06/2023,19.05
ASP-SME,07/06/2023,19.37
ASP-SME,08/06/2023,19.35
ASP-SME,09/06/2023,19.34
ASP-SME,12/06/2023,19.31
ASP-SME,13/06/2023,19.36
ASP-SME,14/06/2023,19.30
ASP-SME,15/06/2023,19.21
ASP-SME,16/06/2023,19.11
ASP-SME,19/06/2023,19.19
ASP-SME,20/06/2023,19.13
ASP-SME,21/06/2023,18.81
ASP-SME,22/06/2023,18.81
ASP-SME,23/06/2023,18.55
ASP-SME,26/06/2023,18.01
ASP-SME,27/06/2023,18.15
ASP-SME,28/06/2023,18.03
ASP-SME,29/06/2023,18.43
ASP-SME,30/06/2023,18.56
ASP-SME,03/07/2023,18.58
ASP-SME,04/07/2023,18.76
ASP-SME,05/07/2023,18.54
ASP-SME,06/07/2023,18.42
ASP-SME,07/07/2023,18.47
ASP-SME,10/07/2023,18.45
ASP-SME,11/07/2023,18.48
ASP-SME,12/07/2023,18.22
ASP-SME,13/07/2023,18.29
ASP-SME,14/07/2023,18.73
ASP-SME,17/07/2023,19.05
ASP-SME,18/07/2023,18.97
ASP-SME,19/07/2023,19.06
ASP-SME,20/07/2023,18.82
ASP-SME,21/07/2023,18.93
ASP-SME,24/07/2023,18.64
ASP-SME,25/07/2023,18.70
ASP-SME,26/07/2023,18.70
ASP-SME,27/07/2023,18.90
ASP-SME,31/07/2023,18.79
ASP-SME,02/08/2023,18.65
ASP-SME,03/08/2023,18.57
ASP-SME,04/08/2023,18.62
ASP-SME,07/08/2023,18.51
ASP-SME,08/08/2023,18.33
ASP-SME,09/08/2023,18.54
ASP-SME,10/08/2023,18.54
ASP-SME,11/08/2023,18.69
ASP-SME,15/08/2023,18.44
ASP-SME,16/08/2023,18.52
ASP-SME,17/08/2023,18.64
ASP-SME,18/08/2023,18.72
ASP-SME,21/08/2023,18.72
ASP-SME,22/08/2023,18.91
ASP-SME,23/08/2023,19.00
ASP-SME,24/08/2023,19.17
ASP-SME,25/08/2023,19.13
K-MIDSMALL,29/05/2023,16.35
K-MIDSMALL,30/05/2023,16.39
K-MIDSMALL,31/05/2023,16.53
K-MIDSMALL,01/06/2023,16.44
K-MIDSMALL,02/06/2023,16.44
K-MIDSMALL,06/06/2023,16.42
K-MIDSMALL,07/06/2023,16.53
K-MIDSMALL,08/06/2023,16.68
K-MIDSMALL,09/06/2023,16.69
K-MIDSMALL,12/06/2023,16.67
K-MIDSMALL,13/06/2023,16.80
K-MIDSMALL,14/06/2023,16.73
K-MIDSMALL,15/06/2023,16.58
K-MIDSMALL,16/06/2023,16.53
K-MIDSMALL,19/06/2023,16.51
K-MIDSMALL,20/06/2023,16.49
K-MIDSMALL,21/06/2023,16.31
K-MIDSMALL,22/06/2023,16.21
K-MIDSMALL,23/06/2023,16.07
K-MIDSMALL,26/06/2023,15.77
K-MIDSMALL,27/06/2023,15.78
K-MIDSMALL,28/06/2023,15.67
K-MIDSMALL,29/06/2023,15.90
K-MIDSMALL,30/06/2023,16.08
K-MIDSMALL,03/07/2023,16.09
K-MIDSMALL,04/07/2023,16.31
K-MIDSMALL,05/07/2023,16.11
K-MIDSMALL,06/07/2023,15.88
K-MIDSMALL,07/07/2023,15.83
K-MIDSMALL,10/07/2023,15.83
K-MIDSMALL,11/07/2023,15.81
K-MIDSMALL,12/07/2023,15.63
K-MIDSMALL,13/07/2023,15.70
K-MIDSMALL,14/07/2023,16.01
K-MIDSMALL,17/07/2023,16.24
K-MIDSMALL,18/07/2023,16.20
K-MIDSMALL,19/07/2023,16.34
K-MIDSMALL,20/07/2023,16.16
K-MIDSMALL,21/07/2023,16.28
K-MIDSMALL,24/07/2023,16.14
K-MIDSMALL,25/07/2023,16.17
K-MIDSMALL,26/07/2023,16.17
K-MIDSMALL,27/07/2023,16.42
K-MIDSMALL,31/07/2023,16.47
K-MIDSMALL,02/08/2023,16.31
K-MIDSMALL,03/08/2023,16.19
K-MIDSMALL,04/08/2023,16.26
K-MIDSMALL,07/08/2023,16.22
K-MIDSMALL,08/08/2023,16.03
K-MIDSMALL,09/08/2023,16.20
K-MIDSMALL,10/08/2023,16.24
K-MIDSMALL,11/08/2023,16.39
K-MIDSMALL,15/08/2023,16.31
K-MIDSMALL,16/08/2023,16.28
K-MIDSMALL,17/08/2023,16.50
K-MIDSMALL,18/08/2023,16.57
K-MIDSMALL,21/08/2023,16.66
K-MIDSMALL,22/08/2023,16.92
K-MIDSMALL,23/08/2023,16.98
K-MIDSMALL,24/08/2023,17.09
K-MIDSMALL,25/08/2023,17.18
KFTHAISM,29/05/2023,13.15
KFTHAISM,30/05/2023,13.20
KFTHAISM,31/05/2023,13.32
KFTHAISM,01/06/2023,13.24
KFTHAISM,02/06/2023,13.24
KFTHAISM,06/06/2023,13.20
KFTHAISM,07/06/2023,13.25
KFTHAISM,08/06/2023,13.35
KFTHAISM,09/06/2023,13.36
KFTHAISM,12/06/2023,13.34
KFTHAISM,13/06/2023,13.40
KFTHAISM,14/06/2023,13.39
KFTHAISM,15/06/2023,13.23
KFTHAISM,16/06/2023,13.21
KFTHAISM,19/06/2023,13.20
KFTHAISM,20/06/2023,13.15
KFTHAISM,21/06/2023,13.02
KFTHAISM,22/06/2023,12.90
KFTHAISM,23/06/2023,12.86
KFTHAISM,26/06/2023,12.61
KFTHAISM,27/06/2023,12.55
KFTHAISM,28/06/2023,12.44
KFTHAISM,29/06/2023,12.62
KFTHAISM,30/06/2023,12.76
KFTHAISM,03/07/2023,12.72
KFTHAISM,04/07/2023,12.78
KFTHAISM,05/07/2023,12.68
KFTHAISM,06/07/2023,12.52
KFTHAISM,07/07/2023,12.53
KFTHAISM,10/07/2023,12.52
KFTHAISM,11/07/2023,12.47
KFTHAISM,12/07/2023,12.28
KFTHAISM,13/07/2023,12.27
KFTHAISM,14/07/2023,12.47
KFTHAISM,17/07/2023,12.60
KFTHAISM,18/07/2023,12.53
KFTHAISM,19/07/2023,12.62
KFTHAISM,20/07/2023,12.48
