Ticker,Date/Time,close
ASP-VIET,01/10/2020,7.16
ASP-VIET,02/10/2020,7.13
ASP-VIET,05/10/2020,7.17
ASP-VIET,06/10/2020,7.23
ASP-VIET,07/10/2020,7.27
ASP-VIET,08/10/2020,7.30
ASP-VIET,09/10/2020,7.34
ASP-VIET,12/10/2020,7.38
ASP-VIET,14/10/2020,7.51
ASP-VIET,15/10/2020,7.56
ASP-VIET,16/10/2020,7.59
ASP-VIET,19/10/2020,7.60
ASP-VIET,20/10/2020,7.63
ASP-VIET,21/10/2020,7.59
ASP-VIET,22/10/2020,7.65
ASP-VIET,26/10/2020,7.67
ASP-VIET,27/10/2020,7.70
ASP-VIET,28/10/2020,7.47
ASP-VIET,29/10/2020,7.45
ASP-VIET,30/10/2020,7.42
ASP-VIET,02/11/2020,7.52
ASP-VIET,03/11/2020,7.54
ASP-VIET,04/11/2020,7.61
ASP-VIET,05/11/2020,7.58
ASP-VIET,06/11/2020,7.57
ASP-VIET,09/11/2020,7.64
ASP-VIET,10/11/2020,7.59
ASP-VIET,11/11/2020,7.62
ASP-VIET,12/11/2020,7.66
ASP-VIET,13/11/2020,7.74
ASP-VIET,16/11/2020,7.65
ASP-VIET,17/11/2020,7.74
ASP-VIET,18/11/2020,7.77
ASP-VIET,19/11/2020,7.86
ASP-VIET,20/11/2020,7.93
ASP-VIET,23/11/2020,8.01
ASP-VIET,24/11/2020,8.03
ASP-VIET,25/11/2020,8.03
ASP-VIET,26/11/2020,8.04
ASP-VIET,27/11/2020,8.10
ASP-VIET,30/11/2020,8.03
ASP-VIET,01/12/2020,8.08
ASP-VIET,02/12/2020,8.11
ASP-VIET,03/12/2020,8.16
ASP-VIET,04/12/2020,8.19
ASP-VIET,08/12/2020,8.29
ASP-VIET,09/12/2020,8.36
ASP-VIET,14/12/2020,8.52
ASP-VIET,15/12/2020,8.46
ASP-VIET,16/12/2020,8.55
ASP-VIET,17/12/2020,8.44
ASP-VIET,18/12/2020,8.54
ASP-VIET,21/12/2020,8.61
ASP-VIET,22/12/2020,8.63
ASP-VIET,23/12/2020,8.63
ASP-VIET,24/12/2020,8.46
ASP-VIET,25/12/2020,8.53
ASP-VIET,28/12/2020,8.59
ASP-VIET,29/12/2020,8.67
ASP-VIET,30/12/2020,8.69
ASP-VIET,04/01/2021,8.89
ASP-VIET,05/01/2021,8.98
ASP-VIET,06/01/2021,9.08
ASP-VIET,07/01/2021,9.21
ASP-VIET,08/01/2021,9.28
ASP-VIET,11/01/2021,9.45
ASP-VIET,12/01/2021,9.52
ASP-VIET,13/01/2021,9.44
ASP-VIET,14/01/2021,9.44
ASP-VIET,15/01/2021,9.49
ASP-VIET,18/01/2021,9.48
ASP-VIET,19/01/2021,9.14
ASP-VIET,20/01/2021,9.10
ASP-VIET,21/01/2021,9.28
ASP-VIET,22/01/2021,9.35
ASP-VIET,25/01/2021,9.36
ASP-VIET,26/01/2021,9.13
ASP-VIET,27/01/2021,8.88
ASP-VIET,28/01/2021,8.34
ASP-VIET,29/01/2021,8.59
ASP-VIET,01/02/2021,8.48
ASP-VIET,02/02/2021,8.77
ASP-VIET,03/02/2021,9.05
ASP-VIET,04/02/2021,9.06
ASP-VIET,05/02/2021,9.19
ASP-VIET,08/02/2021,8.86
ASP-VIET,09/02/2021,9.11
ASP-VIET,10/02/2021,9.12
ASP-VIET,11/02/2021,9.13
ASP-VIET,15/02/2021,9.13
