Ticker,Date/Time,close
SPY,03/01/2023,380.82
SPY,04/01/2023,383.76
SPY,05/01/2023,379.38
SPY,06/01/2023,388.08
SPY,09/01/2023,387.86
SPY,10/01/2023,390.58
SPY,11/01/2023,395.52
SPY,12/01/2023,396.96
SPY,13/01/2023,398.50
SPY,17/01/2023,397.77
SPY,18/01/2023,391.49
SPY,19/01/2023,388.64
SPY,20/01/2023,395.88
SPY,23/01/2023,400.63
SPY,24/01/2023,400.20
SPY,25/01/2023,400.35
SPY,26/01/2023,404.75
SPY,27/01/2023,405.68
SPY,30/01/2023,400.59
SPY,31/01/2023,406.48
SPY,01/02/2023,410.80
SPY,02/02/2023,416.78
SPY,03/02/2023,412.35
SPY,06/02/2023,409.83
SPY,07/02/2023,415.19
SPY,08/02/2023,410.65
SPY,09/02/2023,407.09
SPY,10/02/2023,408.04
SPY,13/02/2023,412.83
SPY,14/02/2023,412.64
SPY,15/02/2023,413.98
SPY,16/02/2023,408.28
SPY,17/02/2023,407.26
SPY,21/02/2023,399.09
SPY,22/02/2023,398.54
SPY,23/02/2023,400.66
SPY,24/02/2023,396.38
SPY,27/02/2023,397.73
SPY,28/02/2023,396.26
SPY,01/03/2023,394.74
SPY,02/03/2023,397.81
SPY,03/03/2023,404.19
SPY,06/03/2023,404.47
SPY,07/03/2023,398.27
SPY,08/03/2023,398.92
SPY,09/03/2023,391.56
SPY,10/03/2023,385.91
SPY,13/03/2023,385.36
SPY,14/03/2023,391.73
SPY,15/03/2023,389.28
SPY,16/03/2023,396.11
SPY,17/03/2023,389.99
SPY,20/03/2023,393.74
SPY,21/03/2023,398.91
SPY,22/03/2023,392.11
SPY,23/03/2023,393.17
SPY,24/03/2023,395.75
SPY,27/03/2023,396.49
SPY,28/03/2023,395.60
SPY,29/03/2023,401.35
SPY,30/03/2023,403.70
SPY,31/03/2023,409.39
SPY,03/04/2023,410.95
SPY,04/04/2023,408.67
SPY,05/04/2023,407.60
SPY,06/04/2023,409.19
SPY,10/04/2023,409.61
SPY,11/04/2023,409.72
SPY,12/04/2023,408.05
SPY,13/04/2023,413.47
SPY,14/04/2023,412.46
SPY,17/04/2023,413.94
SPY,18/04/2023,414.21
SPY,19/04/2023,414.14
SPY,20/04/2023,411.88
SPY,21/04/2023,412.20
SPY,24/04/2023,412.63
SPY,25/04/2023,406.08
SPY,26/04/2023,404.36
SPY,27/04/2023,412.41
SPY,28/04/2023,415.93
SPY,01/05/2023,415.51
SPY,02/05/2023,410.84
SPY,03/05/2023,408.02
SPY,04/05/2023,405.13
SPY,05/05/2023,412.63
SPY,08/05/2023,412.74
